"","Name.in.English","Degree.of.endangerment","Latitude","Longitude"
"203","Nambiquara do Sul","Vulnerable",-13.2506,-59.5404
"204","Myky","Vulnerable",-12.5331,-59.5019
"205","Macushi (Guyana)","Vulnerable",3.6888,-59.4799
"206","Pilagá","Vulnerable",-25.4035,-58.6669
"207","Hixkaryána","Vulnerable",-0.5493,-58.5131
"208","Waiwai (Guyana)","Vulnerable",1.5598,-58.5131
"209","Waiwai (Brazil)","Vulnerable",-0.7909,-58.2714
"210","Mundurukú","Vulnerable",-8.1027,-57.3486
"211","Zo'é","Vulnerable",0.7909,-57.1289
"212","Mawé","Vulnerable",-3.8642,-56.7773
"213","Trio (Suriname)","Vulnerable",2.1528,-56.3818
"214","Katxuyana-Xikuyána","Vulnerable",2.043,-55.4589
"215","Wayana (Brazil)","Vulnerable",1.3182,-55.2612
"216","Trio (Brazil)","Vulnerable",1.7136,-55.2392
"217","Apalai","Vulnerable",1.2084,-55.1074
"218","Kaiowá Guarani","Vulnerable",-21.5812,-55.0759
"219","Ñandeva Guarani","Vulnerable",-22.0652,-54.7558
"220","Panará","Vulnerable",-9.449,-54.5965
"221","Wayana (Suriname)","Vulnerable",2.7455,-54.58
"222","Bakairi","Vulnerable",-14.4213,-54.0305
"223","Ikpeng","Vulnerable",-11.7376,-53.616
"224","Wauja","Vulnerable",-12.2554,-53.5899
"225","Xavante","Vulnerable",-14.4832,-53.5305
"226","Kamaiurá","Vulnerable",-12.1655,-53.4292
"227","Aweti","Vulnerable",-12.2053,-53.3705
"228","Yudja","Vulnerable",-10.956,-53.3235
"229","Kalapalo","Vulnerable",-12.1574,-53.2521
"230","Mehináku","Vulnerable",-12.5423,-53.2403
"231","Kayabi","Vulnerable",-11.1972,-53.2342
"232","Kuikuro","Vulnerable",-12.35,-53.21
"233","Kisêdjê","Vulnerable",-11.5795,-53.031
"234","Arara do Pará","Vulnerable",-3.7546,-52.976
"235","Wajãpi","Vulnerable",0.747,-52.8442
"236","Akwáwa","Vulnerable",-5.2441,-52.7014
"237","Mebengokre","Vulnerable",-6.5569,-52.4707
"238","Asurini do Xingu","Vulnerable",-3.9095,-52.4707
"239","Araweté","Vulnerable",-5.1347,-52.3388
"240","Galibi Marworno","Vulnerable",3.4256,-52.0312
"241","West Greenlandic","Vulnerable",64.1681,-51.7236
"242","Palikur (Brazil)","Vulnerable",4.0396,-51.7236
"243","Karipuna do Amapá","Vulnerable",3.3379,-51.6796
"244","Mbya Guarani (Brazil)","Vulnerable",-30.1451,-50.625
"245","Tapirapé","Vulnerable",-10.6606,-50.4602
"246","Karajá","Vulnerable",-11.0921,-50.3393
"247","Gavião do Pará","Vulnerable",-5.1784,-48.999
"248","Apinajé","Vulnerable",-6.0317,-47.5604
"249","Krahô","Vulnerable",-8.4071,-47.2851
"250","Guajajara","Vulnerable",-4.8282,-46.8017
"251","Krikati","Vulnerable",-5.8674,-46.7468
"252","Pukobyê","Vulnerable",-5.3316,-46.7138
"253","Ka'apór","Vulnerable",-2.8991,-46.3183
"254","Guajá","Vulnerable",-3.4914,-46.2963
"255","Kanela Apaniekra","Vulnerable",-6.2716,-46.1865
"256","Kanela Rankokamekra","Vulnerable",-6.075,-44.9121
"257","Maxakali","Vulnerable",-16.5519,-40.3417
"258","Paloor","Vulnerable",14.7801,-16.8035
"259","Karone","Vulnerable",12.7769,-16.7733
"260","Ediamat","Vulnerable",12.2621,-16.5289
"261","Noon","Vulnerable",14.8173,-16.5234
"262","Gusilay","Vulnerable",12.7019,-16.4382
"263","Bayot","Vulnerable",12.4218,-16.4149
"264","Bandial","Vulnerable",12.5317,-16.1553
"265","Bainouk-Gunyaamolo","Vulnerable",12.7421,-16.1141
"266","Jola-Kassa","Vulnerable",13.1089,-15.8999
"267","Mancagne","Vulnerable",12.7743,-15.6967
"268","Bassari","Vulnerable",12.4419,-12.6617
"269","Faroese","Vulnerable",62.0112,-6.7785
"270","Scots","Vulnerable",56.2189,-3.7683
"271","Welsh","Vulnerable",52.4459,-3.5485
"272","Basque","Vulnerable",43.133,-2.0764
"273","Konni","Vulnerable",10.3311,-1.6973
"274","Figuig","Vulnerable",32.0895,-1.2222
"275","Tuwuli","Vulnerable",7.0572,0.3845
"276","Tafi","Vulnerable",6.73,0.4421
"277","Tayurayt","Vulnerable",36.5648,1.9061
"278","Tacenwit","Vulnerable",36.5703,2.2892
"279","West Flemish","Vulnerable",51.0275,3.0541
"280","Tamzabit","Vulnerable",32.4816,3.6694
"281","Reshe","Vulnerable",10.8791,4.6115
"282","Tamahaq (Algeria)","Vulnerable",22.8369,5.5371
"283","West Frisian","Vulnerable",53.1006,5.6579
"284","Limburgian-Ripuarian","Vulnerable",50.7781,6.0864
"285","Moselle Franconian","Vulnerable",49.6071,6.1248
"286","Alemannic","Vulnerable",47.2792,7.6904
"287","Tamajeq","Vulnerable",17.2352,8.0859
"288","Rhenish Franconian","Vulnerable",49.4467,8.2067
"289","Ghadames","Vulnerable",30.1166,9.5251
"290","Gera","Vulnerable",10.5553,10.0579
"291","Low Saxon","Vulnerable",53.4029,10.3601
"292","East Franconian","Vulnerable",50.0571,10.7336
"293","Bade","Vulnerable",12.801,11.1181
"294","Venetan","Vulnerable",45.4601,12.1948
"295","Bavarian","Vulnerable",48.4146,12.6123
"296","Scanian","Vulnerable",55.724,13.6614
"297","Sicilian","Vulnerable",37.4399,14.5019
"298","South Italian","Vulnerable",40.9798,15.249
"299","Karang","Vulnerable",8.3093,15.3588
"300","|Gui","Vulnerable",-21.8385,21.7858
"301","Eastern Slovak","Vulnerable",48.8068,21.7968
"302","ǁGana","Vulnerable",-21.7824,21.8971
"303","Torlak","Vulnerable",42.9644,22.1374
"304","Rusyn","Vulnerable",48.4437,22.9394
"305","Polesian","Vulnerable",51.8629,23.9501
"306","Yulu","Vulnerable",8.3854,24.1754
"307","Thuri","Vulnerable",8.4397,25.4333
"308","Feroge","Vulnerable",8.5049,25.7189
"309","Latgalian","Vulnerable",56.1822,27.1362
"310","Belarusian","Vulnerable",53.956,27.5756
"311","Amba","Vulnerable",0.6737,30.198
"312","Heiban","Vulnerable",10.8575,30.2371
"313","Tennet","Vulnerable",4.8611,33.2226
"314","Kwama","Vulnerable",9.5465,34.2059
"315","Suba","Vulnerable",-0.9942,34.519
"316","Dongotono","Vulnerable",4.965,35.321
"317","Hadza","Vulnerable",-3.401,35.3897
"318","Burunge","Vulnerable",-4.7297,35.7769
"319","Nayi","Vulnerable",7.2698,36.1724
"320","Dimme","Vulnerable",5.9548,36.2988
"321","Chara","Vulnerable",6.479,36.3647
"322","Mursi","Vulnerable",5.5831,36.5075
"323","Oyda","Vulnerable",5.9438,36.6503
"324","Bussa","Vulnerable",5.7225,37.1406
"325","Vidunda","Vulnerable",-6.8664,37.304
"326","Yem","Vulnerable",7.6347,37.3205
"327","Burji","Vulnerable",2.1857,37.9248
"328","Adyge","Vulnerable",44.9181,39.7485
"329","Zazaki","Vulnerable",38.8824,40.4846
"330","Abkhaz","Vulnerable",43.133,40.8471
"331","Karachay-Balkar","Vulnerable",44.2137,42.8466
"332","Kabard-Cherkes","Vulnerable",43.7393,43.4289
"333","Ossete","Vulnerable",42.9564,44.4946
"334","Ingush","Vulnerable",43.145,45.1043
"335","Chechen","Vulnerable",43.1971,45.7031
"336","Avar","Vulnerable",42.4801,46.8017
"337","Kumyk","Vulnerable",43.397,46.9775
"338","Chuvash","Vulnerable",56.1394,47.2412
"339","Lak","Vulnerable",42.0125,47.2521
"340","Dargwa","Vulnerable",42.1145,47.4938
"341","Tabasaran","Vulnerable",41.8081,47.9882
"342","Lezgian","Vulnerable",41.4921,48.0541
"343","Talysh","Vulnerable",38.814,48.6804
"344","Khalaj","Vulnerable",34.3751,50.3063
"345","Bashkir","Vulnerable",54.7309,55.9863
"346","Khorasani Turk","Vulnerable",36.6596,57.854
"347","Brahui","Vulnerable",29.0369,66.5826
"348","Pashayi","Vulnerable",34.66,70.2
"349","Shughni","Vulnerable",37.4879,71.5374
"350","Khowar","Vulnerable",35.8667,71.7956
"351","Maiya","Vulnerable",35.3151,72.908
"352","Burushaski","Vulnerable",35.909,74.2153
"353","Tulu","Vulnerable",12.0178,75.7067
"354","Purik","Vulnerable",34.3706,76.0144
"355","Balti","Vulnerable",35.0659,76.1901
"356","Padri","Vulnerable",33.8886,76.3
"357","Irula","Vulnerable",11.4369,76.5032
"358","Manchad","Vulnerable",32.6578,77.5415
"359","Ladakhi","Vulnerable",34.0617,77.5909
"360","Spiti","Vulnerable",32.2871,78.2652
"361","Garhwali","Vulnerable",30.0976,79.1235
"362","Rongpo","Vulnerable",30.7229,79.7387
"363","Kumaoni","Vulnerable",29.4778,79.8486
"364","Korku","Vulnerable",20.3034,80.2441
"365","Gondi","Vulnerable",19.5804,80.4418
"366","Sora","Vulnerable",19.1244,83.2104
"367","Gutob","Vulnerable",18.7086,83.5839
"368","Thakali","Vulnerable",28.7146,83.6478
"369","Seke","Vulnerable",28.9282,83.8249
"370","Kui","Vulnerable",19.5908,83.9575
"371","Korwa","Vulnerable",22.4922,84.1552
"372","Ghale","Vulnerable",28.2501,84.718
"373","Chepang","Vulnerable",27.7552,84.8144
"374","Kurux (India)","Vulnerable",22.1467,85.2758
"375","Angika","Vulnerable",24.7451,85.3124
"376","Kharia","Vulnerable",21.8003,85.4956
"377","Tamang","Vulnerable",27.7365,85.6858
"378","Mundari","Vulnerable",22.3297,86.0449
"379","Sunwar","Vulnerable",27.3485,86.2337
"380","Jero","Vulnerable",27.2241,86.3909
"381","Wambule","Vulnerable",27.1746,86.4363
"382","Ho","Vulnerable",21.637,86.4404
"383","Bhumji","Vulnerable",21.8003,86.8139
"384","Sherpa","Vulnerable",27.739,86.839
"385","Kohi","Vulnerable",27.3607,86.8661
"386","Kulung","Vulnerable",27.518,86.9375
"387","Sampang","Vulnerable",27.257,86.9444
"388","Bantawa","Vulnerable",27.0994,87.0048
"389","Koda","Vulnerable",22.1263,87.0776
"390","Kurux (Nepal)","Vulnerable",26.6032,87.2259
"391","Shingsaba","Vulnerable",27.7163,87.4731
"392","Satār","Vulnerable",26.5541,87.918
"393","Kurux (Bangladesh)","Vulnerable",25.8196,88.9672
"394","Dzongkha","Vulnerable",27.44,89.6731
"395","Nyenkha","Vulnerable",27.4595,90.4119
"396","Nupbikha","Vulnerable",27.3937,90.5003
"397","Bumthang","Vulnerable",27.492,90.7159
"398","Kurtöp","Vulnerable",27.7127,90.9667
"399","Rabha","Vulnerable",25.9284,90.9777
"400","Kheng","Vulnerable",27.0786,91.0272
"401","Gongduk","Vulnerable",27.086,91.2002
"402","Dzala","Vulnerable",27.7078,91.3623
"403","Kokborok","Vulnerable",23.7752,91.6918
"404","Khasi","Vulnerable",25.691,91.8676
"405","Tshangla","Vulnerable",27.1275,91.9335
"406","Hrangkhol","Vulnerable",24.1467,92.3071
"407","Sherdukpen","Vulnerable",27.1935,92.351
"408","Bishnupriya Manipuri Creole","Vulnerable",24.297,92.4499
"409","Bodo","Vulnerable",26.7554,92.8674
"410","Dimasa","Vulnerable",24.7368,92.9003
"411","Mizo","Vulnerable",22.9988,92.9223
"412","Bangni","Vulnerable",28.0331,93.0651
"413","Sak (Myanmar)","Vulnerable",21.2333,93.0761
"414","Nyishi","Vulnerable",27.5277,93.0981
"415","Karbi","Vulnerable",26.2934,93.2299
"416","Thado","Vulnerable",24.4521,93.2354
"417","Hmar","Vulnerable",24.577,93.3178
"418","Paite","Vulnerable",24.1968,93.3563
"419","Nruanghmei","Vulnerable",24.9661,93.5375
"420","Zeme","Vulnerable",25.5027,93.5595
"421","Kabui","Vulnerable",24.7218,93.6584
"422","Liangmai","Vulnerable",25.2794,93.6694
"423","Apatani","Vulnerable",27.5228,93.8177
"424","Mzieme","Vulnerable",25.6019,93.8891
"425","Meithei","Vulnerable",24.7667,93.8946
"426","Anal","Vulnerable",24.1517,93.9385
"427","Maram","Vulnerable",25.185,93.9715
"428","Angami","Vulnerable",25.7553,94.1308
"429","Khoirao","Vulnerable",25.2198,94.1583
"430","Tagin","Vulnerable",28.038,94.2022
"431","Rengma","Vulnerable",25.958,94.2462
"432","Mao","Vulnerable",25.5027,94.2681
"433","Kheza","Vulnerable",25.6811,94.367
"434","Lhota","Vulnerable",26.1603,94.3725
"435","Bokar","Vulnerable",28.8735,94.3807
"436","Maring","Vulnerable",24.6769,94.3835
"437","Tuvan","Vulnerable",51.7134,94.3945
"438","Tangkhul","Vulnerable",25.0358,94.4824
"439","Simi","Vulnerable",25.9777,94.5922
"440","Ao","Vulnerable",26.4361,94.6472
"441","Chokri","Vulnerable",25.8691,94.7131
"442","Galo","Vulnerable",28.1688,94.7433
"443","Pochuri","Vulnerable",25.6712,94.779
"444","Phom","Vulnerable",26.7799,94.9493
"445","Chang","Vulnerable",26.2934,94.9493
"446","Sangtam","Vulnerable",26.6032,94.9603
"447","Yimchungru","Vulnerable",25.9629,94.9713
"448","Minyong","Vulnerable",28.2632,95.0537
"449","Khiamngan","Vulnerable",26.0518,95.1031
"450","Konyak","Vulnerable",26.9367,95.1745
"451","Adi","Vulnerable",28.3527,95.2294
"452","Cuona Menba","Vulnerable",26.8279,95.3623
"453","Padam","Vulnerable",28.2463,95.3668
"454","Wancho","Vulnerable",26.9759,95.4656
"455","Nocte","Vulnerable",27.1618,95.7952
"456","Taruang","Vulnerable",28.12,95.88
"457","Miju","Vulnerable",28.1155,96.2896
"458","Tangsa","Vulnerable",27.4059,96.427
"459","Khampti","Vulnerable",27.8827,96.5093
"460","Mon","Vulnerable",16.4666,97.7833
"461","Zaozou","Vulnerable",26.1554,99.2944
"462","Tanglang","Vulnerable",26.0863,99.7119
"463","Lalo","Vulnerable",25.383,99.9426
"464","Patani Malay","Vulnerable",6.6482,100.0387
"465","Zhaba","Vulnerable",31.4,100.4734
"466","Muda","Vulnerable",21.8421,100.6851
"467","Sangkong","Vulnerable",21.5158,100.6957
"468","Khmin","Vulnerable",22.0469,100.8065
"469","Naluo","Vulnerable",26.5895,100.8506
"470","Guichong","Vulnerable",30.8148,101.7021
"471","Muya","Vulnerable",30.2593,101.7497
"472","Namuyi","Vulnerable",28.0727,101.9565
"473","Hlersu","Vulnerable",24.3789,102.046
"474","Phunoi","Vulnerable",21.6833,102.1
"475","Enggano","Vulnerable",-5.4191,102.2717
"476","Salar","Vulnerable",36.2752,102.4584
"477","Santa","Vulnerable",35.5411,102.7935
"478","Talu","Vulnerable",26.5623,102.8506
"479","Baima","Vulnerable",33.1531,103.8696
"480","Phula (China)","Vulnerable",22.6001,104.0004
"481","Tai Neua","Vulnerable",20.5166,104.3166
"482","Tai Daeng","Vulnerable",19.8833,104.6166
"483","Nung Ven","Vulnerable",23.15,105.2166
"484","Nguon","Vulnerable",17.5333,105.3833
"485","Western Cham","Vulnerable",12.0333,105.4333
"486","Baheng (Viet Nam)","Vulnerable",22.8166,106.35
"487","Maonan","Vulnerable",24.8341,107.577
"488","Mulam","Vulnerable",24.6341,108.2895
"489","Chru","Vulnerable",11.4666,109.05
"490","Wuse","Vulnerable",24.878,109.1053
"491","Baheng (China)","Vulnerable",26.19,110.24
"492","Waxiang","Vulnerable",28.5652,110.3576
"493","Dakka","Vulnerable",-3.316,119.2071
"494","Lauje","Vulnerable",-0.4531,119.9816
"495","Pendau","Vulnerable",0.1922,120.0091
"496","Tajio","Vulnerable",-0.0954,120.0173
